做客王子公园球场，曼联需要一场3-0才能逆转晋级。在博格巴停赛，马蒂奇、埃雷拉等大将受伤的情况下，这似乎是一项不可能完成的任务。但亲手导演1999年欧冠决赛大逆转的男人，又怎会轻言放弃？索尔斯克亚已经向大巴黎下了战书，他是这么说的：“我们在客场总是踢得很好，我们将带着信念前往大巴黎，我们没什么可输的。我们会去尝试，这家俱乐部上演过许多伟大逆转，系列赛还没结束呢。”,0.99978431
根据《镜报》报道，曼联想要在今夏引进一名右边路球员，这个位置是如今曼联的软肋，索尔斯克亚一度让卢卡库出任右边锋。桑乔已经列为这项计划的首选球员，本赛季桑乔代表多特出战30场，打进8球贡献13次助攻，作为一名零零后球员这样的数据难以置信。桑乔2000年3月出生，现在不到19周岁。,0.999565292
对于现在萨里面对的信任危机，瓜迪奥拉说：“在我执教曼城的第一个赛季，没有人质疑过我，我从来也没有被媒体炒作俱乐部会解雇我。孔蒂在赢得联赛冠军后的第二个赛季，当切尔西输掉一两场比赛，人们就说他会被解雇，我当时就非常惊讶，而我对萨里的评价一直很高。”,0.999197059
近10次联赛对决伯恩茅斯占优：两队最近10次在联赛中对决，伯恩茅斯6胜2平2负占据上风。本赛季首回合较量，伯恩茅斯主场2比1击败哈德斯菲尔德。在最近3场英超对决中，双方一共打入15球。哈德斯菲尔德最近3场主场对阵伯恩茅斯，两队更是一共刷出15球。,0.999109761
与科帕相比，莱斯-希利是正面的典型。这位前曼联门将也曾在联赛杯决赛拒绝听从教练的命令，而且当时主帅还是弗格森。那场比赛，比赛还剩12分钟结束时，莱斯-希利膝盖严重受伤，但他知道板凳席上并没有替补门将，他坚持下来并一瘸一拐地度过了余下的比赛，并在最后12分钟内零封对手，尽管最终未能带领球队获得一场胜利。但是莱斯-希利的精神令人感动。,0.99895878
然而开场第8分钟的一幕，似乎在证明索尔斯克亚“想多了”。卢克-肖的角球传中恰到好处，卢卡库无人盯防下的凌空射门竟然打高！英媒评论：这球不进比进还难。但正所谓“知耻而后勇”，背负巨大压力的比利时中锋没有再错过机会，第33分钟接胖肖传球后右脚推射命中远角——这球处理得非常冷静，“射手卢卡库”终于上线！,0.998731698
“2月的赛程比12月的更难，当你来到3月，从我的经验来看，日照时间越长，你的训练课会有更好的条件，阳光总是在球场上，你会越靠近赛季末，球场的情况也更好了。如果那时我们还在4项比赛中，那么将会是一个额外的奖励。但现在还没到3月，现在这个月非常恐怖，每场比赛都是决赛。”,0.998714442
1999年5月26日的那个夜晚，当站在场边的弗格森令旗一挥，索尔斯克亚从替补席上起身，迈入诺坎普球场的那一刻，历史从此被改写。那一晚，曼联开场6分钟即告城门失守，绍尔和扬克尔下半场更是将红魔的球门轰得砰砰作响，但曼联两次逃过生死大劫。,0.99820581
在足球运动发展初期，很多球队并不会在门将位置上投入太大的资源储备。在1930年世界杯上，美国队的报名名单中，仅仅只有1名门将。二战后，国际足联对于大赛的参赛人数有明确规定，门将不得少于两人。不过这依旧无法改变，各队对于替补门将的“漠视”。在世界杯历史上，第一次出现门将替补出场，是发生在1974年。当时扎伊尔国门卡扎蒂因为在20分钟被被巴西射穿3次球门，被队友蒂姆比换下。,0.997958909
月31日讯 近日，国际足联（FIFA）官方公布了2018年度转会总结：在全世界范围内，足球运动员跨国转会（包括跨地区转会，比如英超球员去苏超）所产生的转会费达到了70.3亿美元。其中英格兰成为全球第一烧钱大户，他们净支出达到10亿美元。,0.997693122
